features	weights	abs_weight
CARD9	-0.58793836593664	0.58793836593664
CDKN2C	-0.588725484809302	0.588725484809302
TWSG1	-0.588771539980736	0.588771539980736
DBNDD1	-0.58962465067871	0.58962465067871
RASGRP4	-0.590751467247974	0.590751467247974
MIR3681HG	-0.591142602685489	0.591142602685489
SLC29A1	-0.591333202296265	0.591333202296265
SH3D21	-0.591748889614142	0.591748889614142
CLEC2B	-0.592167906792777	0.592167906792777
USP18	-0.593703530609873	0.593703530609873
JHY	-0.593740901199152	0.593740901199152
PLCD3	-0.594358262482865	0.594358262482865
LATS2	-0.59517826898443	0.59517826898443
RPSAP36	-0.595422854227261	0.595422854227261
ANKRD65	-0.595715493397509	0.595715493397509
RTL6	-0.595855538026327	0.595855538026327
AC127164.1	-0.596573931903194	0.596573931903194
KLKP1	-0.596821550545076	0.596821550545076
HTRA3	-0.596900439311438	0.596900439311438
MYO3A	-0.596965682791221	0.596965682791221
PLXNB1	-0.597251872632194	0.597251872632194
ALDH1B1	-0.597318916788131	0.597318916788131
AC008687.4	-0.597459824392224	0.597459824392224
LINC00865	-0.598366951040569	0.598366951040569
MYL12BP2	-0.598766698525226	0.598766698525226
PTGR1	-0.599010471013979	0.599010471013979
CEACAM19	-0.599150914761097	0.599150914761097
CPNE8	-0.599653429629951	0.599653429629951
POM121L9P	-0.600430394866687	0.600430394866687
SCAMP5	-0.60182653659995	0.60182653659995
XXYLT1	-0.60399637826162	0.60399637826162
RCN1	-0.604078220618951	0.604078220618951
MPP7	-0.60438243113348	0.60438243113348
AC131953.1	-0.607099985698962	0.607099985698962
DNAH14	-0.607534418501575	0.607534418501575
PVR	-0.607642891883907	0.607642891883907
LINC02827	-0.607661084367336	0.607661084367336
ZNF702P	-0.608884444944247	0.608884444944247
DCAF12	-0.610206945678016	0.610206945678016
KCNK9	-0.612930875471556	0.612930875471556
BATF3	-0.613078896897366	0.613078896897366
TPM2	-0.61357354274397	0.61357354274397
LRRC75B	-0.613906482211456	0.613906482211456
GALNT14	-0.614101939855568	0.614101939855568
GPSM1	-0.614882923956037	0.614882923956037
CDCA7	-0.615702894768492	0.615702894768492
SLC16A9	-0.616775580565136	0.616775580565136
RNF41	-0.621520742750868	0.621520742750868
LHFPL6	-0.622780791779199	0.622780791779199
RIMKLB	-0.623983288099758	0.623983288099758
POM121L10P	-0.625578417270752	0.625578417270752
GFOD2	-0.626087016873544	0.626087016873544
REPS2	-0.626195907975765	0.626195907975765
TRPM4	-0.626228105367497	0.626228105367497
