features	weights	abs_weight
SNTB1	0.585857618095254	0.585857618095254
PYHIN1	0.593200300505609	0.593200300505609
TMEM159	0.594434592149003	0.594434592149003
ZNF804A	0.596663814159594	0.596663814159594
NCAPH	0.596744440512431	0.596744440512431
TREML1	0.596859217468251	0.596859217468251
AC105046.1	0.597473835148475	0.597473835148475
SYNJ2	0.602240917694629	0.602240917694629
RASGRP1	0.604210165826293	0.604210165826293
MTFP1	0.604237131679621	0.604237131679621
AP001189.5	0.605412145113423	0.605412145113423
UBE2E2	0.605487605159548	0.605487605159548
LY9	0.606255947734165	0.606255947734165
PDE8A	0.607657995605193	0.607657995605193
SLC37A3	0.614758975706401	0.614758975706401
PTPRO	0.617432119674011	0.617432119674011
AC009686.2	0.619661517401865	0.619661517401865
FCRL2	0.621984990288295	0.621984990288295
PBX4	0.623199533433532	0.623199533433532
ADD3	0.623207960019797	0.623207960019797
KALRN	0.627545006800716	0.627545006800716
KCP	0.630004258278415	0.630004258278415
TREM2	0.630368634788161	0.630368634788161
PTPRB	0.630944267063347	0.630944267063347
CD86	0.631683722147894	0.631683722147894
GNGT2	0.637857820016701	0.637857820016701
MAP3K8	0.637955464760152	0.637955464760152
TCF7	0.642844905764837	0.642844905764837
EPB41L5	0.649405384293914	0.649405384293914
NPIPB11	0.6570425305482	0.6570425305482
CCR6	0.660590073532863	0.660590073532863
PPFIBP2	0.662489778204491	0.662489778204491
SNORA70F	0.664441323111196	0.664441323111196
COBLL1	0.669722432414329	0.669722432414329
FUT8	0.673958914892368	0.673958914892368
GLRA3	0.674180396394869	0.674180396394869
TP73-AS3	0.674627206613109	0.674627206613109
MIR29B2CHG	0.676097980895989	0.676097980895989
MNDA	0.678151566735231	0.678151566735231
AL512631.1	0.68072010628245	0.68072010628245
AC019181.1	0.68589944912357	0.68589944912357
ENO4	0.686138106646342	0.686138106646342
EGR3	0.687901251268053	0.687901251268053
SLAMF1	0.688458850815513	0.688458850815513
SNED1	0.69253788090678	0.69253788090678
AC106882.1	0.701444600513293	0.701444600513293
HOMER3	0.703727958946768	0.703727958946768
TBC1D2B	0.711885858416538	0.711885858416538
BANK1	0.71212016471981	0.71212016471981
ABI3	0.713634592054939	0.713634592054939
ITPRIPL1	0.717332420509318	0.717332420509318
TPD52	0.723918871390726	0.723918871390726
FGL2	0.731615500691082	0.731615500691082
NDUFA4L2	0.735190328124284	0.735190328124284
AC092112.1	0.742020656653794	0.742020656653794
CD274	0.744600516630559	0.744600516630559
USP6NL	0.748307445713706	0.748307445713706
DNAH3	0.755223920663943	0.755223920663943
ESPNL	0.755683501246233	0.755683501246233
TMEM200A	0.759767537345274	0.759767537345274
AC008551.1	0.781219400220608	0.781219400220608
DPF3	0.783858551413147	0.783858551413147
ADAM29	0.836731503258811	0.836731503258811
AC093010.2	0.865953730556442	0.865953730556442
NUGGC	0.869369793110999	0.869369793110999
