Factors	p.adj	means	standard_deviation
Factor1	5.39183659320557e-24	3.10862387815068	-0.101499536648435
Factor2	0.00313465791920674	-0.42859485918068	-0.100745535069156
Factor3	0.436500238114686	0.353742141096835	0.09129621952638
Factor4	0.947454637220599	-0.00451636096595773	0.336899132535191
Factor5	0.947454637220599	0.0670630494998245	0.528375523433591
Factor6	0.0069715941245195	-0.449711527644633	-0.337086299696959
Factor7	0.947454637220599	0.0336008958259012	0.326746470893943
Factor8	0.436500238114686	-0.146828853600392	0.510540015323536
Factor9	0.993669403559621	0.174335321922361	0.582613168536962
Factor10	0.010875266773853	0.369212190033961	-0.035538060463657
