HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0000001,1-Methylhistidine,CN1C=NC(C[C@H](N)C(O)=O)=C1,BRMWTNUJHUMWMS-LURJTMIESA-N,C7H11N3O2,169.1811,169.085126611
HMDB0000005,2-Ketobutyric acid,CCC(=O)C(O)=O,TYEYBOSBBBHJIV-UHFFFAOYSA-N,C4H6O3,102.0886,102.031694058
HMDB0000008,2-Hydroxybutyric acid,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])[H],AFENDNXGAFYKQO-VKHMYHEASA-N,C4H8O3,104.105,104.047344118
HMDB0000011,3-Hydroxybutyric acid,C[C@@H](O)CC(O)=O,WHBMMWSBFZVSSR-GSVOUGTGSA-N,C4H8O3,104.1045,104.047344122
HMDB0000012,Deoxyuridine,OC[C@H]1O[C@H](C[C@@H]1O)N1C=CC(=O)NC1=O,MXHRCPNRJAMMIM-SHYZEUOFSA-N,C9H12N2O5,228.202,228.074621504
HMDB0000017,4-Pyridoxic acid,CC1=NC=C(CO)C(C(O)=O)=C1O,HXACOUQIXZGNBF-UHFFFAOYSA-N,C8H9NO4,183.1614,183.053157781
HMDB0000019,alpha-Ketoisovaleric acid,CC(C)C(=O)C(O)=O,QHKABHOOEWYVLI-UHFFFAOYSA-N,C5H8O3,116.1152,116.047344122
HMDB0000020,p-Hydroxyphenylacetic acid,OC(=O)CC1=CC=C(O)C=C1,XQXPVVBIMDBYFF-UHFFFAOYSA-N,C8H8O3,152.1473,152.047344122
HMDB0000022,3-Methoxytyramine,COC1=C(O)C=CC(CCN)=C1,DIVQKHQLANKJQO-UHFFFAOYSA-N,C9H13NO2,167.205,167.094628665
HMDB0000023,(S)-3-Hydroxyisobutyric acid,C[C@@H](CO)C(O)=O,DBXBTMSZEOQQDU-VKHMYHEASA-N,C4H8O3,104.1045,104.047344122
HMDB0000026,Ureidopropionic acid,NC(=O)NCCC(O)=O,JSJWCHRYRHKBBW-UHFFFAOYSA-N,C4H8N2O3,132.1179,132.053492132
HMDB0000027,Tetrahydrobiopterin,[H][C@@]1(CNC2=C(N1)C(=O)N=C(N)N2)[C@@H](O)[C@H](C)O,FNKQXYHWGSIFBK-RPDRRWSUSA-N,C9H15N5O3,241.2471,241.117489371
HMDB0000030,Biotin,[H][C@]12CS[C@@H](CCCCC(O)=O)[C@@]1([H])NC(=O)N2,YBJHBAHKTGYVGT-ZKWXMUAHSA-N,C10H16N2O3S,244.311,244.088163078
HMDB0000031,Androsterone,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](O)CC[C@]12C,QGXBDMJGAMFCBF-HLUDHZFRSA-N,C19H30O2,290.4403,290.224580204
HMDB0000032,7-Dehydrocholesterol,[H][C@@]1(CC[C@@]2([H])C3=CC=C4C[C@@H](O)CC[C@]4(C)[C@@]3([H])CC[C@]12C)[C@H](C)CCCC(C)C,UCTLRSWJYQTBFZ-DDPQNLDTSA-N,C27H44O,384.6377,384.33921603
HMDB0000034,Adenine,NC1=C2NC=NC2=NC=N1,GFFGJBXGBJISGV-UHFFFAOYSA-N,C5H5N5,135.1267,135.054495185
HMDB0000038,Dihydrobiopterin,C[C@H](O)[C@H](O)C1=NC2=C(NC1)NC(N)=NC2=O,FEMXZDUTFRTWPE-DZSWIPIPSA-N,C9H13N5O3,239.2312,239.101839307
HMDB0000039,Butyric acid,CCCC(O)=O,FERIUCNNQQJTOY-UHFFFAOYSA-N,C4H8O2,88.1051,88.0524295
HMDB0000042,Acetic acid,CC(O)=O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,C2H4O2,60.052,60.021129372
HMDB0000044,Ascorbic acid,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,CIWBSHSKHKDKBQ-JLAZNSOCSA-N,C6H8O6,176.1241,176.032087988
HMDB0000045,Adenosine monophosphate,NC1=C2N=CN([C@@H]3O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]3O)C2=NC=N1,UDMBCSSLTHHNCD-KQYNXXCUSA-N,C10H14N5O7P,347.2212,347.063084339
