HMDB_ID,NAME,SMILES,INCHIKEY,CHEMICAL_FORMULA,AVERAGE_MASS,MONO_MASS
HMDB0000008,2-Hydroxybutyric acid,[H]OC(=O)[C@@]([H])(O[H])C([H])([H])C([H])([H])[H],AFENDNXGAFYKQO-VKHMYHEASA-N,C4H8O3,104.105,104.047344118
HMDB0000064,Creatine,CN(CC(O)=O)C(N)=N,CVSVTCORWBXHQV-UHFFFAOYSA-N,C4H9N3O2,131.1332,131.069476547
HMDB0000072,cis-Aconitic acid,OC(=O)C\C(=C\C(O)=O)C(O)=O,GTZCVFVGUGFEME-IWQZZHSRSA-N,C6H6O6,174.1082,174.016437924
HMDB0000087,Dimethylamine,CNC,ROSDSFDQCJNGOL-UHFFFAOYSA-N,C2H7N,45.0837,45.057849229
HMDB0000094,Citric acid,OC(=O)CC(O)(CC(O)=O)C(O)=O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,C6H8O7,192.1235,192.02700261
HMDB0000097,Choline,C[N+](C)(C)CCO,OEYIOHPDSNJKLS-UHFFFAOYSA-N,C5H14NO,104.1708,104.107539075
HMDB0000108,Ethanol,CCO,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,C2H6O,46.0684,46.041864814
HMDB0000115,Glycolic acid,OCC(O)=O,AEMRFAOFKBGASW-UHFFFAOYSA-N,C2H4O3,76.0514,76.016043994
HMDB0000122,D-Glucose,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-VFUOTHLCSA-N,C6H12O6,180.1559,180.063388116
HMDB0000123,Glycine,NCC(O)=O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,C2H5NO2,75.0666,75.032028409
HMDB0000131,Glycerol,OCC(O)CO,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C3H8O3,92.0938,92.047344122
HMDB0000134,Fumaric acid,OC(=O)\C=C\C(O)=O,VZCYOOQTPOCHFL-OWOJBTEDSA-N,C4H4O4,116.0722,116.010958616
