HMDB	name	chemical_formula	average_molecular_weight	kegg_id
HMDB0000001	1-Methylhistidine	C7H11N3O2	169.1811	C01152
HMDB0000002	1,3-Diaminopropane	C3H10N2	74.1249	C00986
HMDB0000005	2-Ketobutyric acid	C4H6O3	102.0886	C00109
HMDB0000008	2-Hydroxybutyric acid	C4H8O3	104.105	C05984
HMDB0000010	2-Methoxyestrone	C19H24O3	300.3921	C05299
HMDB0000011	3-Hydroxybutyric acid	C4H8O3	104.1045	C01089
HMDB0000012	Deoxyuridine	C9H12N2O5	228.202	C00526
HMDB0000014	Deoxycytidine	C9H13N3O4	227.2172	C00881
HMDB0000015	Cortexolone	C21H30O4	346.4605	C05488
HMDB0000016	Deoxycorticosterone	C21H30O3	330.4611	C03205
HMDB0000017	4-Pyridoxic acid	C8H9NO4	183.1614	C00847
HMDB0000019	alpha-Ketoisovaleric acid	C5H8O3	116.1152	C00141
HMDB0000020	p-Hydroxyphenylacetic acid	C8H8O3	152.1473	C00642
HMDB0000021	Iodotyrosine	C9H10INO3	307.0851	C02515
HMDB0000022	3-Methoxytyramine	C9H13NO2	167.205	C05587
HMDB0000023	(S)-3-Hydroxyisobutyric acid	C4H8O3	104.1045	C06001
HMDB0000024	3-O-Sulfogalactosylceramide (d18:1/24:0)	C48H93NO11S	892.33	
HMDB0000026	Ureidopropionic acid	C4H8N2O3	132.1179	C02642
HMDB0000027	Tetrahydrobiopterin	C9H15N5O3	241.2471	C00272
HMDB0000030	Biotin	C10H16N2O3S	244.311	C00120
HMDB0000031	Androsterone	C19H30O2	290.4403	C00523
HMDB0000032	7-Dehydrocholesterol	C27H44O	384.6377	C01164
HMDB0000033	Carnosine	C9H14N4O3	226.2325	C00386
HMDB0000034	Adenine	C5H5N5	135.1267	C00147
HMDB0000036	Taurocholic acid	C26H45NO7S	515.703	C05122
HMDB0000037	Aldosterone	C21H28O5	360.444	C01780
HMDB0000038	Dihydrobiopterin	C9H13N5O3	239.2312	C02953
HMDB0000039	Butyric acid	C4H8O2	88.1051	C00246
HMDB0000042	Acetic acid	C2H4O2	60.052	C00033
HMDB0000043	Betaine	C5H12NO2	118.1543	
HMDB0000044	Ascorbic acid	C6H8O6	176.1241	C01041
HMDB0000045	Adenosine monophosphate	C10H14N5O7P	347.2212	C00020
HMDB0000048	Melibiose	C12H22O11	342.2965	
HMDB0000050	Adenosine	C10H13N5O4	267.2413	C00212
HMDB0000051	Ammonia	H3N	17.0305	C00014
HMDB0000052	Argininosuccinic acid	C10H18N4O6	290.2731	C03406
HMDB0000053	Androstenedione	C19H26O2	286.4085	C00280
HMDB0000054	Bilirubin	C33H36N4O6	584.6621	C00486
HMDB0000055	Cellobiose	C12H22O11	342.2965	C06422
HMDB0000056	beta-Alanine	C3H7NO2	89.0932	C00099
HMDB0000058	Cyclic AMP	C10H12N5O6P	329.2059	C00575
HMDB0000060	Acetoacetic acid	C4H6O3	102.0886	C00164
HMDB0000061	Adenosine 3',5'-diphosphate	C10H15N5O10P2	427.2011	C00054
HMDB0000062	L-Carnitine	C7H16NO3	162.2068	C00318
HMDB0000063	Cortisol	C21H30O5	362.4599	C00735
HMDB0000064	Creatine	C4H9N3O2	131.1332	C00300
HMDB0000067	Cholesterol	C27H46O	386.6535	C00187
HMDB0000068	Epinephrine	C9H13NO3	183.2044	C00788
HMDB0000070	Pipecolic acid	C6H11NO2	129.157	C00408
HMDB0000071	Deoxyinosine	C10H12N4O4	252.23	C05512
HMDB0000072	cis-Aconitic acid	C6H6O6	174.1082	C00417
HMDB0000073	Dopamine	C8H11NO2	153.1784	C03758
HMDB0000076	Dihydrouracil	C4H6N2O2	114.1026	C00429
HMDB0000077	Dehydroepiandrosterone	C19H28O2	288.4244	C01227
HMDB0000078	Cysteinylglycine	C5H10N2O3S	178.21	C01419
HMDB0000079	Dihydrothymine	C5H8N2O2	128.131	C00906
HMDB0000082	Cytidine triphosphate	C9H16N3O14P3	483.1563	C00063
HMDB0000085	Deoxyguanosine	C10H13N5O4	267.2413	C00330
HMDB0000086	Glycerophosphocholine	C8H20NO6P	257.223	C00670
HMDB0000087	Dimethylamine	C2H7N	45.0837	C00543
HMDB0000089	Cytidine	C9H13N3O5	243.2166	C00475
HMDB0000092	Dimethylglycine	C4H9NO2	103.1198	C01026
HMDB0000094	Citric acid	C6H8O7	192.1235	C00158
HMDB0000095	Cytidine monophosphate	C9H14N3O8P	323.1965	C00055
HMDB0000097	Choline	C5H14NO	104.1708	C00114
HMDB0000098	D-Xylose	C5H10O5	150.1299	C00181
HMDB0000099	L-Cystathionine	C7H14N2O4S	222.262	C02291
HMDB0000101	Deoxyadenosine	C10H13N5O3	251.2419	C00559
HMDB0000107	Galactitol	C6H14O6	182.1718	C01697
HMDB0000108	Ethanol	C2H6O	46.0684	C00469
HMDB0000112	gamma-Aminobutyric acid	C4H9NO2	103.1198	C00334
HMDB0000114	Glycerylphosphorylethanolamine	C5H14NO6P	215.1415	C01233
HMDB0000115	Glycolic acid	C2H4O3	76.0514	C03547
HMDB0000118	Homovanillic acid	C9H10O4	182.1733	C05582
HMDB0000119	Glyoxylic acid	C2H2O3	74.0355	C00048
HMDB0000121	Folic acid	C19H19N7O6	441.3975	C00504
HMDB0000122	D-Glucose	C6H12O6	180.1559	C00221
HMDB0000123	Glycine	C2H5NO2	75.0666	C00037
HMDB0000124	Fructose 6-phosphate	C6H13O9P	260.1358	C00085
HMDB0000125	Glutathione	C10H17N3O6S	307.323	C00051
HMDB0000126	Glycerol 3-phosphate	C3H9O6P	172.0737	C00093
HMDB0000127	D-Glucuronic acid	C6H10O7	194.1394	C00191
HMDB0000128	Guanidoacetic acid	C3H7N3O2	117.1066	C00581
HMDB0000130	Homogentisic acid	C8H8O4	168.1467	C00544
HMDB0000131	Glycerol	C3H8O3	92.0938	C00116
HMDB0000132	Guanine	C5H5N5O	151.1261	C00242
HMDB0000133	Guanosine	C10H13N5O5	283.2407	C00387
HMDB0000134	Fumaric acid	C4H4O4	116.0722	C00122
HMDB0000138	Glycocholic acid	C26H43NO6	465.6227	C01921
HMDB0000139	Glyceric acid	C3H6O4	106.0773	C00258
HMDB0000142	Formic acid	CH2O2	46.0254	C00058
HMDB0000143	D-Galactose	C6H12O6	180.1559	C00984
HMDB0000145	Estrone	C18H22O2	270.3661	C00468
HMDB0000148	L-Glutamic acid	C5H9NO4	147.1293	C00025
HMDB0000149	Ethanolamine	C2H7NO	61.0831	C00189
HMDB0000150	Gluconolactone	C6H10O6	178.14	C00198
HMDB0000151	Estradiol	C18H24O2	272.382	C00951
HMDB0000152	Gentisic acid	C7H6O4	154.121	C00628
